meanBER_cc,meanPER_cc,SNRpercomm_cc,meanAWGN_POWER_cc,meanUP_LOSS_cc,meanDOWN_LOSS_cc,meanTEMPERATURE_cc,meanWV_DENSITY_cc,meanUP_THERMAL_POWER_cc,meanDW_THERMAL_POWER_cc
0,0,20.035,18915,43.137,45.116,281.87,0.0045273,3.4552e-11,3.177e-11
0,0,14.737,2.1226e+05,39.757,43.672,293.23,0.0098739,3.5358e-11,2.7268e-11
0.0051546,0.33333,5.7095,1.8869e+06,41.561,40.979,294.96,0.0072548,3.8932e-11,3.087e-11
0,0,23.737,12133,44.348,42.111,285.78,0.0051515,3.317e-11,3.313e-11
0,0,23.632,30903,42.327,41.455,292.41,0.011817,3.9012e-11,2.8628e-11
0,0,14.695,1.4262e+05,44.479,40.259,290.08,0.0052065,3.8453e-11,3.1828e-11
0,0,15.641,63029,44.995,42.642,283.14,0.0059311,3.1066e-11,2.8794e-11
0,0,16.098,1.067e+05,42.288,43.608,287.19,0.0039629,3.5479e-11,3.181e-11
0.0025773,0.33333,6.4057,7.2994e+05,45.63,40.465,287.01,0.0062265,3.0845e-11,2.9437e-11
0,0,8.0651,1.5087e+06,42.475,40.334,294.85,0.0078618,3.0159e-11,2.7243e-11
0,0,20.166,71744,41.615,41.867,293.03,0.0080682,3.1054e-11,2.8815e-11
0,0,10.832,6.9349e+05,40.325,41.739,296.33,0.0094154,3.9123e-11,2.9017e-11
0,0,18.903,85389,41.359,42.288,292.54,0.0068386,3.1987e-11,3.3837e-11
0,0,13.017,5.1875e+05,39.943,42.279,296.23,0.010635,3.005e-11,3.036e-11
0,0,6.1164,7.3393e+05,42.802,44.024,285.32,0.0076452,3.4112e-11,3.5214e-11
0,0,11.484,5.5188e+05,43.581,42.295,287.82,0.011398,3.2662e-11,2.9711e-11
0,0,22.71,17688,45.089,40.981,287.2,0.010049,2.8101e-11,3.4689e-11
0,0,23.147,6925.6,44.679,44.809,278.85,0.0025518,3.7535e-11,3.3351e-11
0,0,7.9944,1.6867e+06,40.735,41.338,296.75,0.011058,3.1747e-11,3.1895e-11
0,0,21.707,29406,43.41,41.452,289.79,0.004055,3.2803e-11,2.998e-11
0,0,21.257,87407,41.326,40.718,296.85,0.01118,3.382e-11,2.8496e-11
0,0,24.532,16181,40.65,44.079,290.15,0.0065718,3.1329e-11,2.7776e-11
0,0,23.461,23427,43.39,42.823,286.87,0.010175,3.7911e-11,3.1045e-11
0,0,8.509,8.4725e+05,42.692,40.931,292.98,0.010361,2.889e-11,2.6162e-11
0,0,20.904,27242,44.216,42.465,285.65,0.0058751,3.228e-11,3.0976e-11
0,0,6.5403,1.1418e+06,44.261,39.709,292.11,0.0089477,3.5975e-11,3.3475e-11
0,0,20.025,17979,45.504,43.523,280.19,0.0042682,3.2327e-11,2.7649e-11
0,0,18.947,78044,43.117,41.875,289.38,0.0057248,2.7771e-11,2.9289e-11
0,0,19.276,70403,41.758,42.185,292.05,0.011819,3.2086e-11,3.3108e-11
0,0,11.723,2.0238e+05,43.226,44.086,283.94,0.0047007,3.1438e-11,2.8807e-11
0,0,24.249,7040.6,46.545,41.922,281.61,0.0056107,3.8036e-11,2.9217e-11
0,0,21.393,49677,43.107,40.89,291.94,0.012141,3.3621e-11,2.7288e-11
0,0,17.39,1.2089e+05,43.649,40.477,291.68,0.012637,3.1739e-11,3.4979e-11
0,0,16.691,99113,44.679,39.989,290.36,0.0097,3.3262e-11,3.0713e-11
0,0,5.9523,1.6747e+06,42.392,42.518,289.84,0.010433,3.232e-11,3.487e-11
0.012887,1,5.2766,1.3121e+06,43.789,41.38,288.86,0.0050006,3.3382e-11,3.2582e-11
0,0,14.589,1e+05,43.215,43.221,286.27,0.0068,3.257e-11,2.9338e-11
0,0,15.123,3.3827e+05,39.883,40.809,299.67,0.011135,3.4533e-11,2.6411e-11
0,0,20.731,45543,43.195,43.412,285.93,0.0068139,2.939e-11,2.8219e-11
0,0,10.415,2.1642e+05,44.498,43.15,283.18,0.0077059,2.9808e-11,3.4216e-11
0,0,9.3284,1.941e+05,44.269,44.574,280.37,0.0023084,3.3664e-11,2.6639e-11
0,0,16.516,1.584e+05,41.804,40.684,295.41,0.012882,2.9296e-11,2.7633e-11
0.007732,0.66667,5.5188,1.8943e+06,43.444,40.777,291.29,0.0067432,3.0314e-11,3.3791e-11
0.0025773,0.33333,5.2462,2.8494e+06,40.477,41.076,297.73,0.015534,3.0927e-11,3.5991e-11
0,0,11.894,1.5363e+05,44.539,43.316,282.56,0.0023198,3.2148e-11,3.5482e-11
0.0025773,0.33333,5.6461,1.4578e+06,43.465,41.848,288.84,0.0079065,3.0109e-11,3.1674e-11
0,0,15.138,77930,42.213,45.488,283.17,0.0043115,3.4467e-11,2.8192e-11
0,0,13.216,2.5528e+05,43.699,41.01,290.39,0.0084068,3.1088e-11,3.2574e-11
0,0,7.3622,5.0353e+05,46.004,42.843,280.8,0.0050642,3.1052e-11,3.4492e-11
0,0,22.958,25725,42.462,42.526,289.43,0.0030261,4.1744e-11,3.3348e-11
0,0,8.6518,4.4763e+05,41.666,44.328,286.98,0.0066145,3.6413e-11,3.2512e-11
0,0,17.009,1.1113e+05,44.255,39.57,292.36,0.0045664,2.9309e-11,2.8514e-11
0,0,9.6699,3.9648e+05,43.949,41.952,287.2,0.0074897,3.1772e-11,3.1348e-11
0,0,10.958,2.2844e+05,42.934,44.18,284.41,0.005751,2.9836e-11,2.8292e-11
0,0,16.171,1.4664e+05,43.088,41.792,289.68,0.0051575,3.4064e-11,2.5822e-11
0,0,24.779,16606,43.833,40.888,290.38,0.0077064,3.0363e-11,3.0169e-11
0,0,9.8091,6.7095e+05,41.043,42.22,293.53,0.005341,3.6758e-11,2.6721e-11
0,0,23.631,15104,40.531,45.071,288.22,0.007018,3.1503e-11,3.6389e-11
0,0,22.587,50017,42.558,41.504,292.04,0.0090791,3.6614e-11,2.7762e-11
0,0,9.684,2.7159e+05,45.837,41.324,284.42,0.0048696,3.0838e-11,3.0608e-11
0.0051546,0.66667,5.9271,1.6293e+06,42.492,42.068,290.7,0.00873,3.1535e-11,3.1312e-11
0,0,20.367,16930,45.797,42.948,280.7,0.0039224,3.0159e-11,2.5665e-11
0,0,11.791,2.7119e+05,42.155,43.403,288.22,0.0055627,3.4046e-11,3.1206e-11
0,0,22.028,13811,45.751,42.227,282.62,0.0062427,3.0285e-11,2.882e-11
0,0,24.305,19182,43.099,41.527,290.33,0.008645,3.4734e-11,3.347e-11
0,0,11.907,2.4046e+05,42.392,43.32,287.87,0.0065409,3.616e-11,2.6206e-11
0,0,5.8107,2.1588e+06,42.745,41.447,291.52,0.0081333,3.2431e-11,3.9642e-11
0,0,17.226,2.0498e+05,41.764,38.948,299.71,0.010869,3.3241e-11,2.8743e-11
0,0,21.783,18009,43.238,43.91,284.23,0.0065326,3.4822e-11,3.03e-11
0,0,13.347,2.1865e+05,43.604,42.527,286.81,0.0017985,3.7168e-11,2.809e-11
0,0,21.603,60320,41.29,40.342,297.49,0.0094154,2.94e-11,3.232e-11
0,0,19.921,18576,43.329,45.126,281.31,0.0041453,2.9169e-11,2.8389e-11
0,0,20.128,21672,43.9,43.702,283.27,0.0058266,3.8497e-11,2.6389e-11
0,0,21.893,41298,39.829,43.658,293.16,0.010447,3.0995e-11,3.3086e-11
0,0,12.167,2.9818e+05,42.692,42.263,289.49,0.0071388,3.2095e-11,2.4965e-11
0,0,11.533,4.168e+05,41.607,42.218,292.1,0.0091401,3.062e-11,3.2228e-11
0,0,24.593,17893,41.584,42.718,290.84,0.0072984,3.0499e-11,2.9268e-11
0.0051546,0.66667,5.4933,7.0374e+05,44.056,43.105,284.18,0.004038,2.8148e-11,2.5753e-11
0.010309,0.66667,6.251,1.4551e+06,43.733,39.726,293.63,0.013079,3.3333e-11,2.8793e-11
0,0,18.433,78716,43.566,40.354,291.92,0.0077797,3.3552e-11,2.7477e-11
