meanBER_nc,meanPER_nc,SNRpercomm_nc,meanAWGN_POWER_nc,meanUP_LOSS_nc,meanDOWN_LOSS_nc,meanTEMPERATURE_nc,meanWV_DENSITY_nc,meanUP_THERMAL_POWER_nc,meanDW_THERMAL_POWER_nc
0,0,20.053,53717,40.234,43.662,292.08,0.0093907,3.5317e-11,2.9196e-11
0,0,16.612,1.1252e+05,42.729,41.284,291.47,0.0068659,3.8731e-11,3.3744e-11
0,0,18.466,64462,42.181,42.331,290.48,0.0082926,2.8925e-11,3.2311e-11
0.023196,0.66667,7.2218,7.1825e+05,42.675,42.678,288.3,0.0062217,3.0681e-11,3.1738e-11
0,0,12.541,4.7461e+05,42.801,41.105,292.14,0.010278,3.233e-11,3.077e-11
0.029639,0.66667,6.7546,1.6224e+06,42.4,43.083,288.6,0.0032309,3.6504e-11,2.6154e-11
0,0,21.563,19611,43.816,43.511,284.01,0.0062931,2.9596e-11,2.8156e-11
0.050258,0.66667,5.4721,7.4428e+05,43.102,43.694,285.51,0.008237,3.5548e-11,3.2566e-11
0,0,11.959,2.6849e+05,43.881,41.46,288.84,0.0079598,4.134e-11,2.7841e-11
0,0,14.886,2.7161e+05,42.845,39.093,296.79,0.01057,3.4391e-11,2.8859e-11
0,0,23.106,18481,42.649,42.654,288.66,0.007693,3.2828e-11,3.3007e-11
0.054124,0.66667,5.4091,1.4074e+06,42.587,42.179,289.87,0.0066724,2.718e-11,2.9831e-11
0,0,10.454,6.374e+05,43.022,41.6,290.49,0.0056117,2.8974e-11,3.1003e-11
0,0,22.032,11812,45.097,43.511,280.91,0.002838,3.4209e-11,3.0825e-11
0.021907,0.66667,7.1036,1.2559e+06,42.516,41.234,292.54,0.0086907,3.6698e-11,2.8275e-11
0,0,24.259,22162,41.796,42.778,290.4,0.00971,3.619e-11,3.2783e-11
0,0,23.844,37057,41.759,40.792,295.6,0.0092783,2.6398e-11,2.7162e-11
0.01933,0.66667,7.2932,1.1571e+06,42.608,41.087,292.32,0.0058956,2.9721e-11,3.2249e-11
0,0,20.971,33366,43.6,41.294,289.43,0.005982,3.265e-11,2.5856e-11
0.015464,0.66667,7.8513,9.1409e+05,41.871,42.356,291.31,0.0083333,3.2543e-11,3.6628e-11
0,0,16.923,37487,43.463,45.294,280.66,0.0049486,3.1106e-11,3.0415e-11
0,0,17.907,1.434e+05,42.297,39.585,296.82,0.010646,3.0668e-11,2.4783e-11
0,0,19.095,53704,43.086,41.63,289.84,0.0029743,2.9064e-11,2.6638e-11
0.032216,0.66667,6.742,1.7699e+06,43.02,39.253,296.05,0.0073624,3.8541e-11,2.7807e-11
0,0,16.167,1.4938e+05,43.75,41.2,289.75,0.011228,3.8439e-11,3.2949e-11
0,0,21.022,48372,40.029,43.315,293.33,0.010703,3.0732e-11,3.3088e-11
